,TCP UL/DL (Bytes),Avg RTT UL/DL (ms),Avg Bearer UL/DL (kbps),clusters
125,43139145.87030599,70.6515316436013,255.0,0
126,2067204.0,43.0,4464.0,0
127,43139145.87030599,59.0,171.0,0
128,43139145.87030599,84.0,451.0,0
129,43139145.87030599,70.6515316436013,174.0,0
130,20812408.27034193,83.0,49.0,0
131,1097595.0,53.0,56510.0,0
132,27898540.935152996,59.0,91076.0,0
133,65290522.80545898,249.0,127965.0,0
134,33188453.935152996,83.0,100163.0,0
135,21569572.935152996,35.32576582180065,91.0,0
136,21609764.935152996,73.0,12511.0,0
137,21569572.935152996,35.32576582180065,15.0,0
138,43139145.87030599,70.6515316436013,202.0,0
139,58992348.0,179.0,57118.0,0
140,21569572.935152996,32.0,109.0,0
141,827627.0,50.0,34283.0,0
142,15768330.0,136.0,837.0,0
143,18930559.0,903.0,103776.0,0
144,21569572.935152996,42.0,112.0,0
145,22664021.935152996,92.0,29090.0,0
146,177770.0,53.0,50137.0,0
147,45411402.53511706,286.0,294230.0,0
148,21569572.935152996,52.0,21.0,0
149,21569572.935152996,30.0,99.0,0
150,22347485.59996406,58.0,37497.0,0
151,23393453.935152996,171.32576582180064,52441.0,0
152,22046387.935152996,108.32576582180064,42522.0,0
153,32396655.935152996,101.0,44333.0,0
154,21569572.935152996,51.0,111.0,0
155,21569572.935152996,26.0,83.0,0
156,21569572.935152996,35.32576582180065,69.0,0
157,21569572.935152996,35.32576582180065,15.0,0
158,4716588.0,94.0,20057.0,0
159,21569572.935152996,132.0,108.0,0
160,21572445.935152996,110.0,24960.0,0
161,13165.0,94.0,696.0,0
162,3488209.0,54.0,55731.0,0
163,21569572.935152996,19.0,105.0,0
164,21569572.935152996,39.0,68.0,0
165,27504687.935152996,103.0,52861.0,0
166,10400378.0,49.0,170612.0,0
167,2780461.0,222.0,11369.0,0
168,21569572.935152996,35.32576582180065,98.0,0
169,3941.0,43.0,42311.0,0
170,252973191.0,303.0,54607.0,0
171,43139145.87030599,59.0,217.0,0
172,22675586.935152996,83.0,85582.0,0
173,21569572.935152996,20.0,131.0,0
174,30272979.664811067,186.0,138760.0,0
175,21569572.935152996,28.0,91.0,0
176,271349.0,1997.0,12272.0,0
177,21569572.935152996,35.32576582180065,101.0,0
178,21731043.935152996,59.0,39581.0,0
179,21569572.935152996,40.0,68.0,0
180,151676.0,89.0,31865.0,0
181,64708718.80545898,86.0,351.0,0
182,21569572.935152996,35.32576582180065,93.0,0
183,21665474.935152996,107.0,34102.0,0
184,21569572.935152996,35.32576582180065,123.0,0
185,21569572.935152996,35.32576582180065,31.0,0
186,21569572.935152996,64.0,102.0,0
187,20826163.27034193,58.0,198.0,0
188,3822525.0,95.0,53040.0,0
189,21569572.935152996,34.0,125.0,0
190,110957.0,68.0,26434.0,0
191,28354127.935152996,260.0,60246.0,0
192,21569572.935152996,63.0,87.0,0
193,799813.6648110661,83.0,5134.0,0
194,43139145.87030599,87.0,187.0,0
195,21569572.935152996,29.0,78.0,0
196,21569572.935152996,34.0,208.0,0
197,21569572.935152996,66.0,276.0,0
198,43139654.87030599,77.0,17928.0,0
199,21593493.935152996,77.32576582180064,54499.0,0
200,64708718.80545898,105.97729746540196,288.0,0
201,778814.6648110661,63.0,513.0,0
202,21569572.935152996,35.32576582180065,87.0,0
203,21569572.935152996,40.0,95.0,0
204,21569572.935152996,35.32576582180065,98.0,0
205,20811208.27034193,159.0,105.0,0
206,21569572.935152996,35.32576582180065,93.0,0
207,21569572.935152996,38.0,100.0,0
208,451137.0,67.0,13946.0,0
209,21569572.935152996,38.0,10.0,0
210,44852.0,58.0,21258.0,0
211,64708718.80545898,251.0,219.0,0
212,766022.6648110661,312.0,28829.0,0
213,23676.0,152.0,1541.0,0
214,770656.6648110661,35.0,38825.0,0
215,43139145.87030599,70.0,215.0,0
216,21569572.935152996,35.32576582180065,110.0,0
217,21569572.935152996,35.32576582180065,92.0,0
218,21569572.935152996,33.0,122.0,0
219,14680.0,33.0,4307.0,0
220,185267.0,45.0,8973.0,0
221,41493.0,105.0,54315.0,0
222,22634990.935152996,70.0,62886.0,0
223,781418.6648110661,1417.0,211.0,0
224,20817170.27034193,55.0,30790.0,0
225,21569572.935152996,35.32576582180065,92.0,0
226,21569572.935152996,32.0,110.0,0
227,21569572.935152996,35.32576582180065,108.0,0
228,21569572.935152996,35.32576582180065,95.0,0
229,21569572.935152996,35.32576582180065,2.0,0
230,21569572.935152996,35.32576582180065,1.0,0
231,65839453.470270045,210.97729746540196,10386.0,0
232,43139145.87030599,92.0,175.0,0
233,21569572.935152996,39.0,115.0,0
234,2783713.0,55.0,65218.0,0
235,43139145.87030599,99.0,175.0,0
236,21569572.935152996,49.0,88.0,0
237,3330335.0,114.0,22287.0,0
238,24059045.0,114.0,966.0,0
239,21569572.935152996,30.0,81.0,0
240,21569572.935152996,35.32576582180065,118.0,0
241,21569572.935152996,29.0,91.0,0
242,21569572.935152996,35.32576582180065,137.0,0
243,21569572.935152996,70.0,91.0,0
244,22381042.59996406,118.32576582180064,42525.0,0
245,21569572.935152996,35.32576582180065,133.0,0
246,21569572.935152996,35.32576582180065,89.0,0
247,64708718.80545898,96.0,291.0,0
248,21569572.935152996,28.0,111.0,0
249,43139145.87030599,70.6515316436013,156.0,0
250,14904846.0,231.0,108662.0,0
251,43139145.87030599,53.0,155.0,0
252,23544274.935152996,76.0,95709.0,0
253,21569572.935152996,35.32576582180065,142.0,0
254,21569572.935152996,63.0,107.0,0
255,21569572.935152996,152.0,799.0,0
256,21569572.935152996,57.0,66.0,0
257,21569572.935152996,63.0,46.0,0
258,21569572.935152996,39.0,84.0,0
259,22004117.935152996,156.0,26773.0,0
260,21569572.935152996,44.0,93.0,0
261,21569572.935152996,35.32576582180065,95.0,0
262,21575284.935152996,63.0,77435.0,0
263,21569572.935152996,38.0,99.0,0
264,21569572.935152996,29.0,79.0,0
265,21569572.935152996,115.0,70.0,0
266,619234.0,152.0,9792.0,0
267,36846539.935153,154.32576582180064,87353.0,0
268,21569572.935152996,34.0,117.0,0
269,21569572.935152996,35.32576582180065,76.0,0
270,43139145.87030599,108.0,6186.0,0
271,22438251.59996406,202.0,57601.0,0
272,21569572.935152996,40.0,99.0,0
273,22992391.935152996,243.0,39181.0,0
274,21569572.935152996,88.0,87.0,0
275,26523645.935152996,96.0,49734.0,0
276,1552.0,168.0,129.0,0
277,20863641.27034193,399.0,12195.0,0
278,21868.0,213.0,6008.0,0
279,21569572.935152996,27.0,1658.0,0
280,22067.0,58.0,4529.0,0
281,21570869.935152996,91.0,3857.0,0
282,21569572.935152996,35.32576582180065,76.0,0
283,761026.6648110661,38.0,611.0,0
284,53641.0,45.0,33780.0,0
285,22588346.59996406,96.0,18613.0,0
286,21569572.935152996,35.32576582180065,93.0,0
287,43139145.87030599,122.0,131.0,0
288,21569572.935152996,35.32576582180065,107.0,0
289,21569572.935152996,127.0,88.0,0
290,16896851.0,35.0,84576.0,0
291,23082650.935152996,1064.0,20415.0,0
292,21569572.935152996,58.0,38513.0,0
293,64708718.80545898,110.65153164360129,17864.0,0
294,65469550.470270045,117.0,33601.0,0
295,21569572.935152996,80.0,58.0,0
296,21569572.935152996,49.0,116.0,0
297,21573935.935152996,131.0,449.0,0
298,43139145.87030599,68.0,156.0,0
299,21569572.935152996,34.0,301.0,0
300,293364.0,109.0,40083.0,0
301,21569572.935152996,13.0,57.0,0
302,43139145.87030599,70.6515316436013,183.0,0
303,21569572.935152996,35.32576582180065,105.0,0
304,21569572.935152996,35.32576582180065,87.0,0
305,2140155.0,70.0,59891.0,0
306,21713649.935152996,156.0,107851.0,0
307,130538.0,49.0,18022.0,0
308,103298.0,213.0,4579.0,0
309,7530.0,240.0,3788.0,0
310,43139145.87030599,58.0,185.0,0
311,21569572.935152996,19.0,104.0,0
312,21569572.935152996,51.0,63.0,0
313,21569572.935152996,35.32576582180065,66.0,0
314,498094.0,191.0,66920.0,0
315,8114258.0,117.0,20381.0,0
316,21569572.935152996,20.0,101.0,0
317,21569572.935152996,35.0,112.0,0
318,43720.0,50.0,49255.0,0
319,43139145.87030599,70.6515316436013,142.0,0
320,312682.0,155.0,14360.0,0
321,21569572.935152996,63.0,87.0,0
322,21569572.935152996,30.0,157.0,0
323,33378.0,127.0,2519.0,0
324,43139145.87030599,129.0,148.0,0
325,761176.6648110661,54.0,13658.0,0
326,21569572.935152996,35.32576582180065,64.0,0
327,21569572.935152996,35.32576582180065,73.0,0
328,21842815.935152996,115.0,13751.0,0
329,21569572.935152996,38.0,63.0,0
330,768798.6648110661,203.0,43668.0,0
331,21569572.935152996,22.0,122.0,0
332,21717988.935152996,79.0,15705.0,0
333,43899080.53511706,118.0,7529.0,0
